what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1509093028582
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1509093028782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093031885
error,log,,,"Unhandled event loop exception",1509093032066
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1509093034102
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509093034126
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1509093034325
closed,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1509093034328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1509093035013
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509093035025
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1509093035038
closed,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1509093035040
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1509093035508
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509093036025
closed,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1509093036032
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1509093038490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.next",1509093039068
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.next",1509093040140
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1509093064464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093068313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093069333
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1509093069337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093070284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093071355
executed,command,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1509093071359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093123550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093144983
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1509093146479
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1509093146872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093147230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093150513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093151142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093152059
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1509093252784
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1509093252801
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1509093295955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1509093301673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093336338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093337986
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1509093340051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093343669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093357502
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1509093357516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093368666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093369658
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1509093369662
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093376547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093384182
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1509093386560
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1509093387227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093406946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093408202
executed,command,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.activateTask",1509093408206
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1509093423678
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1509093423703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1509093423703
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1509093426596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093428014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093430088
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1509093430092
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1509093430092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093440283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093445474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1509093447200
